Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity
Dodge,Challenger,2017,regular unleaded,375,8,MANUAL,rear wheel drive,2,High-Performance,Large,Coupe,23,15,1851
Dodge,Charger,2015,premium unleaded (recommended),485,8,AUTOMATIC,rear wheel drive,4,"Factory Tuner,High-Performance",Large,Sedan,25,15,1851
Dodge,Charger,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,N/A,Large,Sedan,31,19,1851
Dodge,Charger,2016,premium unleaded (recommended),707,8,AUTOMATIC,rear wheel drive,4,"Factory Tuner,High-Performance",Large,Sedan,22,13,1851
Dodge,Charger,2017,regular unleaded,370,8,AUTOMATIC,rear wheel drive,4,High-Performance,Large,Sedan,25,16,1851
Dodge,Charger,2017,premium unleaded (recommended),485,8,AUTOMATIC,rear wheel drive,4,"Factory Tuner,High-Performance",Large,Sedan,25,15,1851
Chevrolet,Chevy Van,1996,regular unleaded,195,6,AUTOMATIC,rear wheel drive,3,N/A,Midsize,Cargo Van,17,14,1385
Chevrolet,Chevy Van,1996,regular unleaded,195,6,AUTOMATIC,rear wheel drive,3,N/A,Large,Cargo Van,17,14,1385
Oldsmobile,Ciera,1996,regular unleaded,160,6,AUTOMATIC,front wheel drive,4,N/A,Midsize,Wagon,26,18,26
Chrysler,Cirrus,1998,regular unleaded,168,6,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,25,17,1013
Honda,Civic CRX,1990,regular unleaded,62,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,44,36,2202
Honda,Civic CRX,1990,regular unleaded,108,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,30,24,2202
Honda,Civic del Sol,1996,regular unleaded,160,4,MANUAL,front wheel drive,2,"Factory Tuner,Performance",Compact,Coupe,27,23,2202
Honda,Civic del Sol,1996,regular unleaded,125,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,33,26,2202
Honda,Civic,2015,premium unleaded (required),205,4,MANUAL,front wheel drive,2,"Factory Tuner,Performance",Compact,Coupe,31,22,2202
Honda,Civic,2015,regular unleaded,143,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,36,28,2202
Honda,Civic,2015,regular unleaded,110,4,AUTOMATIC,front wheel drive,4,Hybrid,Compact,Sedan,47,44,2202
Honda,Civic,2015,regular unleaded,143,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Sedan,39,30,2202
Honda,Civic,2015,regular unleaded,143,4,AUTOMATIC,front wheel drive,2,N/A,Compact,Coupe,39,30,2202
Honda,Civic,2016,regular unleaded,174,4,AUTOMATIC,front wheel drive,2,N/A,Compact,Coupe,41,31,2202
Honda,Civic,2016,regular unleaded,174,4,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,42,31,2202
Honda,Civic,2016,regular unleaded,158,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,38,26,2202
Honda,Civic,2017,regular unleaded,174,4,AUTOMATIC,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,40,31,2202
Honda,Civic,2017,regular unleaded,174,4,AUTOMATIC,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,40,31,2202
Honda,Civic,2017,regular unleaded,158,4,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,40,31,2202
Honda,Civic,2017,regular unleaded,158,4,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,40,28,2202
Honda,Civic,2017,regular unleaded,158,4,AUTOMATIC,front wheel drive,2,N/A,Compact,Coupe,39,30,2202
Honda,Civic,2017,regular unleaded,174,4,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,42,32,2202
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,N/A,Large,Extended Cab Pickup,20,15,1385
Chevrolet,C/K 1500 Series,1997,regular unleaded,230,8,MANUAL,four wheel drive,2,N/A,Large,Extended Cab Pickup,17,11,1385
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,N/A,Large,Regular Cab Pickup,20,15,1385
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,N/A,Large,Regular Cab Pickup,20,15,1385
Chevrolet,C/K 1500 Series,1997,regular unleaded,200,6,MANUAL,rear wheel drive,2,N/A,Large,Regular Cab Pickup,20,15,1385
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,four wheel drive,2,N/A,Large,Extended Cab Pickup,19,14,1385
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,four wheel drive,2,N/A,Large,Regular Cab Pickup,19,14,1385
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,rear wheel drive,2,N/A,Large,Extended Cab Pickup,21,16,1385
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,rear wheel drive,2,N/A,Large,Extended Cab Pickup,21,16,1385
Chevrolet,C/K 1500 Series,1998,regular unleaded,200,6,MANUAL,rear wheel drive,2,N/A,Large,Regular Cab Pickup,21,16,1385
Chevrolet,C/K 2500 Series,1998,regular unleaded,230,8,MANUAL,rear wheel drive,2,N/A,Large,Extended Cab Pickup,17,13,1385
Chevrolet,C/K 2500 Series,1998,regular unleaded,230,8,MANUAL,rear wheel drive,2,N/A,Large,Extended Cab Pickup,17,13,1385
Mercedes-Benz,CL-Class,2012,premium unleaded (required),536,8,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Large,Coupe,22,15,617
Mercedes-Benz,CL-Class,2013,premium unleaded (required),621,12,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Large,Coupe,18,12,617
Mercedes-Benz,CLA-Class,2015,premium unleaded (required),208,4,AUTOMATED_MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,32,24,617
Mercedes-Benz,CLA-Class,2015,premium unleaded (required),355,4,AUTOMATED_MANUAL,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,31,23,617
Acura,CL,2002,premium unleaded (required),225,6,AUTOMATIC,front wheel drive,2,Luxury,Midsize,Coupe,27,17,204
Acura,CL,2002,premium unleaded (required),225,6,AUTOMATIC,front wheel drive,2,Luxury,Midsize,Coupe,27,17,204
Mercedes-Benz,CLK-Class,2007,premium unleaded (required),475,8,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,18,12,617
Mercedes-Benz,CLK-Class,2007,premium unleaded (required),268,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,25,17,617
Mercedes-Benz,CLK-Class,2009,premium unleaded (required),268,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Convertible,25,17,617
Mercedes-Benz,CLK-Class,2009,premium unleaded (required),382,8,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Midsize,Convertible,21,15,617
Mercedes-Benz,CLS-Class,2016,premium unleaded (required),329,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,26,19,617
Mercedes-Benz,CLS-Class,2016,premium unleaded (required),577,8,AUTOMATIC,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,22,16,617
Chevrolet,Cobalt,2008,regular unleaded,148,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,33,24,1385
Chevrolet,Cobalt,2008,regular unleaded,173,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,32,22,1385
Chevrolet,Cobalt,2009,regular unleaded,155,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,37,25,1385
Chevrolet,Cobalt,2009,regular unleaded,155,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,35,25,1385
Chevrolet,Colorado,2012,regular unleaded,242,5,AUTOMATIC,four wheel drive,4,N/A,Compact,Extended Cab Pickup,23,17,1385
Chevrolet,Colorado,2012,regular unleaded,185,4,MANUAL,four wheel drive,4,N/A,Compact,Extended Cab Pickup,24,18,1385
Chevrolet,Colorado,2012,regular unleaded,185,4,AUTOMATIC,rear wheel drive,4,N/A,Compact,Crew Cab Pickup,25,18,1385
Chevrolet,Colorado,2012,regular unleaded,185,4,AUTOMATIC,four wheel drive,4,N/A,Compact,Extended Cab Pickup,23,17,1385
Chevrolet,Colorado,2015,regular unleaded,200,4,AUTOMATIC,rear wheel drive,4,N/A,Compact,Crew Cab Pickup,27,20,1385
Chevrolet,Colorado,2015,regular unleaded,200,4,AUTOMATIC,four wheel drive,4,N/A,Compact,Extended Cab Pickup,25,19,1385
Chevrolet,Colorado,2015,regular unleaded,200,4,MANUAL,rear wheel drive,4,N/A,Compact,Extended Cab Pickup,26,19,1385
Chevrolet,Colorado,2015,regular unleaded,200,4,AUTOMATIC,rear wheel drive,4,N/A,Compact,Extended Cab Pickup,27,20,1385
Chevrolet,Colorado,2016,regular unleaded,200,4,AUTOMATIC,four wheel drive,4,N/A,Compact,Extended Cab Pickup,25,19,1385
Chevrolet,Colorado,2016,regular unleaded,200,4,MANUAL,rear wheel drive,4,N/A,Compact,Extended Cab Pickup,26,19,1385
Chevrolet,Colorado,2016,regular unleaded,200,4,MANUAL,rear wheel drive,4,Diesel,Compact,Extended Cab Pickup,26,19,1385
Chevrolet,Colorado,2016,regular unleaded,200,4,AUTOMATIC,rear wheel drive,4,N/A,Compact,Extended Cab Pickup,27,20,1385
Dodge,Colt,1994,regular unleaded,92,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,28,1851
Dodge,Colt,1994,regular unleaded,113,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,30,23,1851
Plymouth,Colt,1993,regular unleaded,113,4,MANUAL,all wheel drive,4,N/A,Compact,Wagon,24,19,535
Plymouth,Colt,1993,regular unleaded,113,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,31,23,535
Plymouth,Colt,1994,regular unleaded,113,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,30,23,535
Plymouth,Colt,1994,regular unleaded,113,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,30,23,535
Chrysler,Concorde,2004,regular unleaded,250,6,AUTOMATIC,front wheel drive,4,Performance,Large,Sedan,25,17,1013
Bentley,Continental Flying Spur Speed,2011,premium unleaded (required),600,12,AUTOMATIC,all wheel drive,4,"Exotic,Factory Tuner,Luxury,High-Performance",Large,Sedan,17,10,520
Bentley,Continental GT3-R,2015,premium unleaded (required),572,8,AUTOMATIC,all wheel drive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Midsize,Coupe,23,13,520
Bentley,Continental GT,2014,premium unleaded (required),500,8,AUTOMATIC,all wheel drive,2,"Exotic,Luxury,High-Performance",Midsize,Coupe,24,15,520
Bentley,Continental GT,2015,flex-fuel (premium unleaded required/E85),567,12,AUTOMATIC,all wheel drive,2,"Exotic,Flex Fuel,Luxury,High-Performance",Midsize,Convertible,20,12,520
Bentley,Continental GT,2015,premium unleaded (required),521,8,AUTOMATIC,all wheel drive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Midsize,Coupe,25,15,520
Bentley,Continental GTC Speed,2010,premium unleaded (required),600,12,AUTOMATIC,all wheel drive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Midsize,Convertible,17,10,520
Bentley,Continental GTC Speed,2011,flex-fuel (premium unleaded required/E85),600,12,AUTOMATIC,all wheel drive,2,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Midsize,Convertible,17,10,520
Bentley,Continental Supersports,2010,flex-fuel (premium unleaded required/E85),621,12,AUTOMATIC,all wheel drive,2,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Midsize,Coupe,19,12,520
Bentley,Continental Supersports,2011,flex-fuel (premium unleaded required/E85),621,12,AUTOMATIC,all wheel drive,2,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Midsize,Coupe,19,12,520
Lincoln,Continental,2002,premium unleaded (required),275,8,AUTOMATIC,front wheel drive,4,Luxury,Large,Sedan,23,15,61
Lincoln,Continental,2002,premium unleaded (required),275,8,AUTOMATIC,front wheel drive,4,Luxury,Large,Sedan,23,15,61
Lincoln,Continental,2017,premium unleaded (recommended),,6,AUTOMATIC,all wheel drive,4,Luxury,Large,Sedan,25,17,61
Lincoln,Continental,2017,regular unleaded,305,6,AUTOMATIC,front wheel drive,4,Luxury,Large,Sedan,26,17,61
Ford,Contour,1999,regular unleaded,125,4,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,31,21,5657
Ford,Contour,2000,regular unleaded,170,6,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,27,18,5657
Toyota,Corolla,2015,regular unleaded,132,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Sedan,36,27,2031
Toyota,Corolla,2015,regular unleaded,132,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,37,28,2031
Toyota,Corolla,2016,regular unleaded,132,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Sedan,37,29,2031
Toyota,Corolla,2016,regular unleaded,132,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,37,28,2031
Toyota,Corolla,2016,regular unleaded,132,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Sedan,37,29,2031
Toyota,Corolla,2017,regular unleaded,132,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Sedan,35,28,2031
Volkswagen,Corrado,1992,regular unleaded,158,4,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,26,18,873
Volkswagen,Corrado,1992,regular unleaded,178,6,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,23,16,873
Chevrolet,Corvette,2015,premium unleaded (recommended),460,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,29,17,1385
Chevrolet,Corvette,2015,premium unleaded (recommended),460,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,29,17,1385
Chevrolet,Corvette,2015,premium unleaded (recommended),460,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,29,17,1385
Chevrolet,Corvette,2015,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,29,17,1385
Chevrolet,Corvette,2016,premium unleaded (recommended),460,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,29,17,1385
Chevrolet,Corvette,2016,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,29,17,1385
Chevrolet,Corvette,2016,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,29,17,1385
Chevrolet,Corvette,2016,premium unleaded (required),650,8,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Compact,Convertible,22,15,1385
Chevrolet,Corvette,2017,premium unleaded (required),650,8,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Compact,Coupe,22,15,1385
Chevrolet,Corvette,2017,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,25,16,1385
Chevrolet,Corvette,2017,premium unleaded (recommended),460,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,25,16,1385
Chevrolet,Corvette,2017,premium unleaded (recommended),460,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,25,16,1385
Audi,Coupe,1990,regular unleaded,164,5,MANUAL,all wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,2dr Hatchback,22,16,3105
Audi,Coupe,1991,regular unleaded,164,5,MANUAL,all wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,2dr Hatchback,22,15,3105
Honda,CR-V,2014,regular unleaded,185,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,31,23,2202
Honda,CR-V,2014,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,22,2202
Honda,CR-V,2015,regular unleaded,185,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,34,27,2202
Honda,CR-V,2015,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,26,2202
Honda,CR-V,2016,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,31,25,2202
Honda,CR-V,2016,regular unleaded,185,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,26,2202
Honda,CR-V,2016,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,31,25,2202
Honda,CR-Z,2014,regular unleaded,130,4,AUTOMATIC,front wheel drive,2,"Hatchback,Hybrid",Compact,2dr Hatchback,39,36,2202
Honda,CR-Z,2015,regular unleaded,130,4,MANUAL,front wheel drive,2,"Hatchback,Hybrid",Compact,2dr Hatchback,38,31,2202
Honda,CR-Z,2015,regular unleaded,130,4,AUTOMATIC,front wheel drive,2,"Hatchback,Hybrid",Compact,2dr Hatchback,39,36,2202
Toyota,Cressida,1991,regular unleaded,190,6,AUTOMATIC,rear wheel drive,4,N/A,Midsize,Sedan,22,17,2031
Toyota,Cressida,1992,regular unleaded,190,6,AUTOMATIC,rear wheel drive,4,N/A,Midsize,Sedan,22,17,2031
Chrysler,Crossfire,2007,premium unleaded (required),215,6,MANUAL,rear wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,23,15,1013
Chrysler,Crossfire,2007,premium unleaded (required),215,6,MANUAL,rear wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,23,15,1013
Honda,Crosstour,2013,regular unleaded,278,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback",Midsize,4dr Hatchback,28,19,2202
Honda,Crosstour,2013,regular unleaded,192,4,AUTOMATIC,front wheel drive,4,"Crossover,Hatchback",Midsize,4dr Hatchback,31,22,2202
Honda,Crosstour,2015,regular unleaded,192,4,AUTOMATIC,front wheel drive,4,"Crossover,Hatchback",Midsize,4dr Hatchback,31,22,2202
Honda,Crosstour,2015,regular unleaded,278,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback",Midsize,4dr Hatchback,28,19,2202
Subaru,Crosstrek,2016,regular unleaded,148,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,34,26,640
Subaru,Crosstrek,2016,regular unleaded,148,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,34,26,640
Ford,Crown Victoria,2011,flex-fuel (unleaded/E85),239,8,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Sedan,24,16,5657
Chevrolet,Cruze Limited,2016,regular unleaded,138,4,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,42,28,1385
Chevrolet,Cruze,2015,regular unleaded,138,4,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,36,25,1385
Chevrolet,Cruze,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,38,26,1385
Chevrolet,Cruze,2016,regular unleaded,153,4,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,42,30,1385
Chevrolet,Cruze,2016,regular unleaded,153,4,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,41,29,1385
Chevrolet,Cruze,2017,regular unleaded,153,4,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,39,28,1385
Chevrolet,Cruze,2017,regular unleaded,153,4,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,39,29,1385
Cadillac,CT6,2016,regular unleaded,335,6,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,27,18,1624
Cadillac,CT6,2016,regular unleaded,335,6,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,27,18,1624
Cadillac,CT6,2017,premium unleaded (recommended),265,4,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,30,22,1624
Cadillac,CT6,2017,regular unleaded,335,6,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,27,18,1624
Cadillac,CTS Coupe,2012,regular unleaded,318,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,27,18,1624
Cadillac,CTS Coupe,2012,regular unleaded,318,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,27,18,1624
Cadillac,CTS Coupe,2014,regular unleaded,318,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,27,18,1624
Cadillac,CTS Coupe,2014,regular unleaded,318,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,27,18,1624
Cadillac,CTS-V,2014,premium unleaded (required),556,8,MANUAL,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,19,14,1624
Cadillac,CTS-V,2016,premium unleaded (required),640,8,AUTOMATIC,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Large,Sedan,21,14,1624
Cadillac,CTS Wagon,2012,regular unleaded,318,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Wagon,26,18,1624
Cadillac,CTS Wagon,2013,regular unleaded,318,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Wagon,26,18,1624
Cadillac,CTS Wagon,2014,regular unleaded,270,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,26,18,1624
Cadillac,CTS Wagon,2014,regular unleaded,270,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,26,18,1624
Cadillac,CTS,2015,flex-fuel (unleaded/E85),321,6,AUTOMATIC,rear wheel drive,4,"Flex Fuel,Luxury,High-Performance",Large,Sedan,29,18,1624
Cadillac,CTS,2015,premium unleaded (required),420,6,AUTOMATIC,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Large,Sedan,24,16,1624
Cadillac,CTS,2015,premium unleaded (required),420,6,AUTOMATIC,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Large,Sedan,24,16,1624
Cadillac,CTS,2016,regular unleaded,335,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,30,20,1624
Cadillac,CTS,2016,regular unleaded,335,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,30,20,1624
Cadillac,CTS,2016,premium unleaded (recommended),268,4,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,29,21,1624
Cadillac,CTS,2017,premium unleaded (recommended),268,4,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,29,21,1624
Cadillac,CTS,2017,regular unleaded,335,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,27,19,1624
Nissan,Cube,2012,regular unleaded,122,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Wagon,31,27,2009
Nissan,Cube,2013,regular unleaded,122,4,MANUAL,front wheel drive,4,N/A,Compact,Wagon,30,25,2009
Oldsmobile,Cutlass Calais,1990,regular unleaded,110,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,30,19,26
Oldsmobile,Cutlass Calais,1990,regular unleaded,160,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Sedan,28,20,26
Oldsmobile,Cutlass Calais,1991,regular unleaded,160,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Sedan,30,21,26
Oldsmobile,Cutlass Calais,1991,regular unleaded,160,4,AUTOMATIC,front wheel drive,2,N/A,Compact,Coupe,30,21,26
Oldsmobile,Cutlass Ciera,1993,regular unleaded,160,4,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,28,21,26
Oldsmobile,Cutlass Ciera,1993,regular unleaded,160,6,AUTOMATIC,front wheel drive,4,N/A,Midsize,Wagon,26,18,26
Oldsmobile,Cutlass Supreme,1995,regular unleaded,160,6,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,26,17,26
Oldsmobile,Cutlass Supreme,1996,regular unleaded,160,6,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,26,18,26
Oldsmobile,Cutlass,1999,regular unleaded,150,6,AUTOMATIC,front wheel drive,4,N/A,Midsize,Sedan,26,17,26
Mazda,CX-3,2016,regular unleaded,146,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,35,29,586
Mazda,CX-3,2017,regular unleaded,146,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,32,27,586
Mazda,CX-3,2017,regular unleaded,146,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,32,27,586
Mazda,CX-5,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,32,25,586
Mazda,CX-5,2015,regular unleaded,184,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,30,24,586
Mazda,CX-5,2016,regular unleaded,184,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,30,24,586
Mazda,CX-5,2016,regular unleaded,155,4,MANUAL,front wheel drive,4,Crossover,Midsize,4dr SUV,35,26,586
Mazda,CX-5,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,33,26,586
Mazda,CX-5,2016,regular unleaded,184,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,30,24,586
Mazda,CX-7,2011,regular unleaded,161,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,28,20,586
Mazda,CX-7,2011,premium unleaded (recommended),244,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,21,17,586
Mazda,CX-7,2012,premium unleaded (recommended),244,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,21,17,586
Mazda,CX-7,2012,regular unleaded,161,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,20,586
Mazda,CX-9,2015,regular unleaded,273,6,AUTOMATIC,all wheel drive,4,Crossover,Large,4dr SUV,22,16,586
Mazda,CX-9,2015,regular unleaded,273,6,AUTOMATIC,all wheel drive,4,Crossover,Large,4dr SUV,22,16,586
Mazda,CX-9,2016,regular unleaded,227,4,AUTOMATIC,all wheel drive,4,Crossover,Large,4dr SUV,27,21,586
Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,N/A,Compact,Extended Cab Pickup,20,15,1851
Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,N/A,Compact,Crew Cab Pickup,18,14,1851
Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,rear wheel drive,4,N/A,Compact,Crew Cab Pickup,20,16,1851
Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,N/A,Compact,Crew Cab Pickup,20,15,1851
Dodge,Dakota,2008,regular unleaded,302,8,AUTOMATIC,four wheel drive,4,N/A,Compact,Crew Cab Pickup,18,14,1851
Dodge,Dakota,2008,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,N/A,Compact,Extended Cab Pickup,18,14,1851
Dodge,Dakota,2008,regular unleaded,210,6,MANUAL,rear wheel drive,4,N/A,Compact,Extended Cab Pickup,20,16,1851
Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Compact,Crew Cab Pickup,18,14,1851
Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Compact,Extended Cab Pickup,18,14,1851
Dodge,Dakota,2009,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Compact,Extended Cab Pickup,20,15,1851
Dodge,Dakota,2010,regular unleaded,210,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Compact,Crew Cab Pickup,20,15,1851
